C:\Nolek\Logs\2022-0772_C1_230227.csv;120 Bar;60 Liter;Room GR1.1
Log Time;StepNo;CircuitName;TMP1;TMP2;B31;B32;B21;B22;P101;RegulatorSP;RegulatorFB
27/02/2023 16.45.01;24000;R1.1;20,23;20,07;21,94565;13,03827;66,37383;66,64599;101,3278;66;0
27/02/2023 16.45.32;24000;R1.1;20,24;20,08;21,84239;13,33673;66,3796;66,66907;99,94362;66;0
27/02/2023 16.46.03;24000;R1.1;20,24;20,09;21,84239;13,53571;66,3623;66,65753;98,55036;66;0
27/02/2023 16.46.33;24000;R1.1;20,25;20,09;21,84239;13,73469;66,28737;66,59983;97,21138;66;0
27/02/2023 16.47.03;24000;R1.1;20,26;20,09;21,73913;13,93367;66,26431;66,55367;95,8905;66;0
27/02/2023 16.47.33;24000;R1.1;20,26;20,1;21,73913;14,13265;66,24126;66,54214;94,6239;66;0
27/02/2023 16.48.03;24000;R1.1;20,27;20,12;21,63587;14,33163;66,2355;66,52483;93,39349;66;0
27/02/2023 16.48.33;24000;R1.1;20,27;20,13;21,63587;14,53061;66,22397;66,53059;92,18118;66;0
27/02/2023 16.49.03;24000;R1.1;20,28;20,13;21,63587;14,72959;66,24126;66,53637;91,00505;66;0
27/02/2023 16.49.33;24000;R1.1;20,27;20,12;21,53261;14,92857;66,25278;66,56522;89,84702;66;0
27/02/2023 16.50.03;24000;R1.1;20,27;20,13;21,53261;15,12755;66,28737;66,57098;88,71613;66;0
27/02/2023 16.50.34;24000;R1.1;20,29;20,14;21,53261;15,32653;66,32196;66,61714;87,63952;66;0
27/02/2023 16.51.04;24000;R1.1;20,29;20,14;21,42935;15,52551;66,35078;66,65753;86,58101;66;0
27/02/2023 16.51.34;24000;R1.1;20,3;20,14;21,42935;15,72449;66,34502;66,6633;85,58582;66;0
27/02/2023 16.52.04;24000;R1.1;20,31;20,14;21,42935;15,82398;66,32196;66,62868;84,62683;66;0
27/02/2023 16.52.34;24000;R1.1;20,31;20,13;21,32609;15,92347;66,32772;66,62868;83,68593;66;0
27/02/2023 16.53.04;24000;R1.1;20,33;20,13;21,32609;16,12245;66,34502;66,65753;82,76312;66;0
27/02/2023 16.53.34;24000;R1.1;20,34;20,14;21,32609;16,22194;66,29314;66,62291;81,92174;66;0
27/02/2023 16.54.05;24000;R1.1;20,33;20,15;21,22283;16,32143;66,28161;66,57098;81,02607;66;0
27/02/2023 16.54.35;24000;R1.1;20,34;20,14;21,22283;16,42092;66,32196;66,63445;80,51943;66;0
27/02/2023 16.55.05;24000;R1.1;20,34;20,15;21,22283;16,6199;66,37383;66,65753;80,56467;66;0
27/02/2023 16.55.35;24000;R1.1;20,34;20,15;21,22283;16,6199;66,27008;66,58253;80,25706;66;0
27/02/2023 16.56.05;24000;R1.1;20,34;20,16;21,11957;16,6199;66,20091;66,49021;79,89518;66;0
27/02/2023 16.56.35;24000;R1.1;20,34;20,16;21,11957;16,71939;66,12598;66,42674;79,51521;66;0
27/02/2023 16.57.05;24000;R1.1;20,33;20,16;21,11957;16,71939;66,04528;66,38058;79,14427;66;0
27/02/2023 16.57.36;24000;R1.1;20,33;20,16;21,11957;16,71939;65,98764;66,29404;78,82762;66;0
27/02/2023 16.58.06;24000;R1.1;20,33;20,16;21,0163;16,81888;65,92423;66,2248;78,52002;66;0
27/02/2023 16.58.36;24000;R1.1;20,33;20,16;21,0163;16,81888;65,84354;66,17864;78,2486;66;0
27/02/2023 16.59.06;24000;R1.1;20,32;20,16;21,0163;17,21684;66,39689;66,65176;77,79625;66;0
27/02/2023 16.59.39;24000;R1.1;20,32;20,16;21,0163;17,41582;66,24702;66,5479;77,70578;66;0
27/02/2023 17.00.09;24000;R1.1;20,3;20,17;20,91304;17,41582;66,1548;66,4729;77,6153;66;0
27/02/2023 17.00.39;24000;R1.1;20,3;20,17;20,91304;17,41582;66,07986;66,38635;77,52483;66;0
27/02/2023 17.01.09;24000;R1.1;20,29;20,16;20,91304;17,41582;65,99917;66,31135;77,48865;66;0
